日期,單號,類型,對象,對象類型,品項,類目,數量,單價,金額,教育專案,狀態
2026-06-30,SO000140,出貨,校 C,學校,平板保護殼 D,週邊配件,38,990,37620,EDU-012,正常
2026-06-30,SO000141,出貨,校 H,學校,平板保護殼 D,週邊配件,18,990,17820,EDU-004,正常
2026-06-30,SO000144,出貨,校 H,學校,平板保護殼 D,週邊配件,20,990,19800,EDU-001,正常
2026-06-30,SO000158,出貨,校 H,學校,AP 無線基地台 F,網路裝置,10,4590,45900,EDU-007,正常
2026-06-30,SO000169,出貨,校 W,學校,MDM 授權 G,MDM 授權,17,690,11730,EDU-003,正常
2026-06-30,SO000185,出貨,校 K,學校,MDM 授權 G,MDM 授權,24,690,16560,EDU-003,正常
2026-06-30,SO000186,出貨,校 K,學校,MDM 授權 G,MDM 授權,22,690,15180,EDU-007,正常
2026-06-30,SO000192,出貨,校 E,學校,螢幕 I,週邊配件,8,5990,47920,EDU-005,正常
2026-06-30,SO000204,出貨,校 T,學校,轉接器 J,週邊配件,21,890,18690,EDU-004,正常
2026-06-30,SO000205,出貨,校 T,學校,轉接器 J,週邊配件,15,890,13350,EDU-008,正常
2026-06-30,TR000220,調撥,門市丙,門市,AP 無線基地台 F,網路裝置,18,—,—,—,調撥中
2026-07-01,PO000036,進貨,原廠 X,原廠,iPad 教育版 A,平板載具,30,10948,328440,—,正常
2026-07-01,PO000145,進貨,原廠 Y,原廠,平板保護殼 D,週邊配件,158,515,81370,—,正常
2026-07-01,PO000147,進貨,原廠 Z,原廠,平板保護殼 D,週邊配件,64,515,32960,—,正常
2026-07-01,PO000164,進貨,原廠 Z,原廠,AP 無線基地台 F,網路裝置,9,3442,30978,—,正常
2026-07-01,PO000209,進貨,原廠 X,原廠,轉接器 J,週邊配件,76,490,37240,—,正常
2026-07-01,PO000211,進貨,原廠 Z,原廠,轉接器 J,週邊配件,51,490,24990,—,正常
2026-07-01,RMA000238,退貨,校 A,學校,觸控筆 H,週邊配件,3,2790,8370,EDU-012,退貨
2026-07-01,RMA000242,退貨,校 T,學校,充電車 E,週邊配件,2,28900,57800,EDU-002,退貨
2026-07-01,SO000008,出貨,校 P,學校,iPad 教育版 A,平板載具,3,11900,35700,EDU-003,正常
2026-07-01,SO000013,出貨,校 E,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-011,正常
2026-07-01,SO000030,出貨,校 K,學校,iPad 教育版 A,平板載具,8,11900,95200,EDU-007,正常
2026-07-01,SO000031,出貨,校 K,學校,iPad 教育版 A,平板載具,7,11900,83300,EDU-002,正常
2026-07-01,SO000039,出貨,校 W,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-009,正常
2026-07-01,SO000048,出貨,校 H,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-011,正常
2026-07-01,SO000050,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-07-01,SO000071,出貨,校 C,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-002,正常
2026-07-01,SO000073,出貨,校 C,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-011,正常
2026-07-01,SO000078,出貨,校 A,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-007,正常
2026-07-01,SO000090,出貨,校 C,學校,MacBook 教育版 C,筆電,2,36900,73800,EDU-007,正常
2026-07-01,SO000094,出貨,校 W,學校,MacBook 教育版 C,筆電,1,36900,36900,EDU-004,正常
2026-07-01,SO000109,出貨,校 W,學校,觸控筆 H,週邊配件,11,2790,30690,EDU-003,正常
2026-07-01,SO000110,出貨,校 W,學校,觸控筆 H,週邊配件,7,2790,19530,EDU-002,正常
2026-07-01,SO000113,出貨,校 P,學校,觸控筆 H,週邊配件,8,2790,22320,EDU-010,正常
2026-07-01,SO000116,出貨,校 K,學校,觸控筆 H,週邊配件,16,2790,44640,EDU-002,正常
2026-07-01,SO000119,出貨,校 K,學校,觸控筆 H,週邊配件,16,2790,44640,EDU-005,正常
2026-07-01,SO000123,出貨,校 E,學校,觸控筆 H,週邊配件,10,2790,27900,EDU-001,正常
2026-07-01,SO000126,出貨,校 E,學校,觸控筆 H,週邊配件,16,2790,44640,EDU-003,正常
2026-07-01,SO000143,出貨,校 H,學校,平板保護殼 D,週邊配件,16,990,15840,EDU-004,正常
2026-07-01,SO000152,出貨,校 K,學校,充電車 E,週邊配件,1,28900,28900,EDU-007,正常
2026-07-01,SO000154,出貨,校 T,學校,充電車 E,週邊配件,1,28900,28900,EDU-011,正常
2026-07-01,SO000174,出貨,校 E,學校,MDM 授權 G,MDM 授權,40,690,27600,EDU-008,正常
2026-07-01,SO000179,出貨,校 P,學校,MDM 授權 G,MDM 授權,18,690,12420,EDU-004,正常
2026-07-01,SO000182,出貨,校 A,學校,MDM 授權 G,MDM 授權,19,690,13110,EDU-008,正常
2026-07-01,SO000183,出貨,校 K,學校,MDM 授權 G,MDM 授權,17,690,11730,EDU-006,正常
2026-07-01,SO000189,出貨,校 H,學校,螢幕 I,週邊配件,6,5990,35940,EDU-007,正常
2026-07-01,SO000194,出貨,校 T,學校,螢幕 I,週邊配件,2,5990,11980,EDU-011,正常
2026-07-01,SO000201,出貨,校 P,學校,轉接器 J,週邊配件,18,890,16020,EDU-004,正常
2026-07-01,SO000208,出貨,校 W,學校,轉接器 J,週邊配件,5,890,4450,EDU-006,正常
2026-07-01,TR000223,調撥,門市甲,門市,平板保護殼 D,週邊配件,4,—,—,—,調撥中
2026-07-01,TR000228,調撥,門市乙,門市,平板保護殼 D,週邊配件,10,—,—,—,調撥中
2026-07-02,PO000088,進貨,原廠 Z,原廠,iPad 教育版 B,平板載具,17,14310,243270,—,正常
2026-07-02,PO000197,進貨,原廠 Z,原廠,螢幕 I,週邊配件,4,4792,19168,—,正常
2026-07-02,SO000005,出貨,校 A,學校,iPad 教育版 A,平板載具,4,11900,47600,EDU-004,正常
2026-07-02,SO000006,出貨,校 A,學校,iPad 教育版 A,平板載具,2,11900,23800,EDU-010,正常
2026-07-02,SO000007,出貨,校 P,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-006,正常
2026-07-02,SO000028,出貨,校 C,學校,iPad 教育版 A,平板載具,2,11900,23800,EDU-005,正常
2026-07-02,SO000035,出貨,校 K,學校,iPad 教育版 A,平板載具,2,11900,23800,EDU-007,正常
2026-07-02,SO000044,出貨,校 K,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-003,正常
2026-07-02,SO000045,出貨,校 K,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-001,正常
2026-07-02,SO000054,出貨,校 E,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-002,正常
2026-07-02,SO000057,出貨,校 E,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-009,正常
2026-07-02,SO000060,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-07-02,SO000074,出貨,校 C,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-07-02,SO000075,出貨,校 A,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-004,正常
2026-07-02,SO000079,出貨,校 A,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-008,正常
2026-07-02,SO000098,出貨,校 P,學校,MacBook 教育版 C,筆電,2,36900,73800,EDU-009,正常
2026-07-02,SO000105,出貨,校 W,學校,觸控筆 H,週邊配件,16,2790,44640,EDU-010,正常
2026-07-02,SO000138,出貨,校 W,學校,平板保護殼 D,週邊配件,23,990,22770,EDU-011,正常
2026-07-02,SO000142,出貨,校 H,學校,平板保護殼 D,週邊配件,27,990,26730,EDU-006,正常
2026-07-02,SO000160,出貨,校 P,學校,AP 無線基地台 F,網路裝置,16,4590,73440,EDU-008,正常
2026-07-02,SO000161,出貨,校 P,學校,AP 無線基地台 F,網路裝置,5,4590,22950,EDU-011,正常
2026-07-02,SO000166,出貨,校 C,學校,MDM 授權 G,MDM 授權,11,690,7590,EDU-007,正常
2026-07-02,SO000170,出貨,校 T,學校,MDM 授權 G,MDM 授權,40,690,27600,EDU-001,正常
2026-07-02,SO000178,出貨,校 P,學校,MDM 授權 G,MDM 授權,20,690,13800,EDU-008,正常
2026-07-02,SO000188,出貨,校 C,學校,螢幕 I,週邊配件,2,5990,11980,EDU-008,正常
2026-07-02,SO000190,出貨,校 H,學校,螢幕 I,週邊配件,2,5990,11980,EDU-009,正常
2026-07-02,SO000193,出貨,校 P,學校,螢幕 I,週邊配件,9,5990,53910,EDU-001,正常
2026-07-02,SO000198,出貨,校 C,學校,轉接器 J,週邊配件,27,890,24030,EDU-005,正常
2026-07-02,SO000207,出貨,校 W,學校,轉接器 J,週邊配件,33,890,29370,EDU-012,正常
2026-07-02,SO000230,出貨,校 H,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-012,作廢
2026-07-02,SO000231,出貨,校 A,學校,MDM 授權 G,MDM 授權,6,690,4140,EDU-002,作廢
2026-07-02,SO000241,出貨,校 T,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-008,作廢
2026-07-02,TR000212,調撥,門市丙,門市,AP 無線基地台 F,網路裝置,8,—,—,—,調撥中
2026-07-02,TR000218,調撥,門市甲,門市,AP 無線基地台 F,網路裝置,15,—,—,—,調撥中
2026-07-02,TR000222,調撥,門市丙,門市,MDM 授權 G,MDM 授權,20,—,—,—,調撥中
2026-07-02,TR000224,調撥,門市甲,門市,平板保護殼 D,週邊配件,16,—,—,—,調撥中
2026-07-02,TR000227,調撥,門市甲,門市,MacBook 教育版 C,筆電,13,—,—,—,調撥中
2026-07-03,PO000038,進貨,原廠 Z,原廠,iPad 教育版 A,平板載具,3,10948,32844,—,正常
2026-07-03,PO000104,進貨,原廠 X,原廠,MacBook 教育版 C,筆電,2,34686,69372,—,正常
2026-07-03,PO000128,進貨,原廠 X,原廠,觸控筆 H,週邊配件,135,1730,233550,—,正常
2026-07-03,PO000196,進貨,原廠 X,原廠,螢幕 I,週邊配件,7,4792,33544,—,正常
2026-07-03,PO000210,進貨,原廠 X,原廠,轉接器 J,週邊配件,73,490,35770,—,正常
2026-07-03,SO000001,出貨,校 A,學校,iPad 教育版 A,平板載具,3,11900,35700,EDU-001,正常
2026-07-03,SO000002,出貨,校 A,學校,iPad 教育版 A,平板載具,3,11900,35700,EDU-004,正常
2026-07-03,SO000014,出貨,校 E,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-006,正常
2026-07-03,SO000015,出貨,校 E,學校,iPad 教育版 A,平板載具,7,11900,83300,EDU-004,正常
2026-07-03,SO000024,出貨,校 C,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-011,正常
2026-07-03,SO000049,出貨,校 H,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-010,正常
2026-07-03,SO000052,出貨,校 E,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-002,正常
2026-07-03,SO000055,出貨,校 E,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-003,正常
2026-07-03,SO000059,出貨,校 E,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-010,正常
2026-07-03,SO000061,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-012,正常
2026-07-03,SO000065,出貨,校 C,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-004,正常
2026-07-03,SO000066,出貨,校 C,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-004,正常
2026-07-03,SO000072,出貨,校 C,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-07-03,SO000085,出貨,校 P,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-008,正常
2026-07-03,SO000092,出貨,校 C,學校,MacBook 教育版 C,筆電,2,36900,73800,EDU-011,正常
2026-07-03,SO000095,出貨,校 T,學校,MacBook 教育版 C,筆電,1,36900,36900,EDU-001,正常
2026-07-03,SO000099,出貨,校 H,學校,MacBook 教育版 C,筆電,3,36900,110700,EDU-002,正常
2026-07-03,SO000101,出貨,校 H,學校,MacBook 教育版 C,筆電,1,36900,36900,EDU-002,正常
2026-07-03,SO000106,出貨,校 W,學校,觸控筆 H,週邊配件,16,2790,44640,EDU-002,正常
2026-07-03,SO000112,出貨,校 P,學校,觸控筆 H,週邊配件,10,2790,27900,EDU-012,正常
2026-07-03,SO000118,出貨,校 K,學校,觸控筆 H,週邊配件,10,2790,27900,EDU-003,正常
2026-07-03,SO000122,出貨,校 T,學校,觸控筆 H,週邊配件,7,2790,19530,EDU-008,正常
2026-07-03,SO000133,出貨,校 K,學校,平板保護殼 D,週邊配件,26,990,25740,EDU-007,正常
2026-07-03,SO000134,出貨,校 K,學校,平板保護殼 D,週邊配件,15,990,14850,EDU-012,正常
2026-07-03,SO000156,出貨,校 T,學校,AP 無線基地台 F,網路裝置,9,4590,41310,EDU-005,正常
2026-07-03,SO000157,出貨,校 E,學校,AP 無線基地台 F,網路裝置,6,4590,27540,EDU-001,正常
2026-07-03,SO000159,出貨,校 H,學校,AP 無線基地台 F,網路裝置,1,4590,4590,EDU-010,正常
2026-07-03,SO000171,出貨,校 T,學校,MDM 授權 G,MDM 授權,37,690,25530,EDU-004,正常
2026-07-03,SO000173,出貨,校 E,學校,MDM 授權 G,MDM 授權,19,690,13110,EDU-010,正常
2026-07-03,SO000175,出貨,校 E,學校,MDM 授權 G,MDM 授權,29,690,20010,EDU-012,正常
2026-07-03,SO000176,出貨,校 E,學校,MDM 授權 G,MDM 授權,36,690,24840,EDU-007,正常
2026-07-03,SO000177,出貨,校 E,學校,MDM 授權 G,MDM 授權,3,690,2070,EDU-008,正常
2026-07-03,SO000180,出貨,校 A,學校,MDM 授權 G,MDM 授權,35,690,24150,EDU-008,正常
2026-07-03,SO000184,出貨,校 K,學校,MDM 授權 G,MDM 授權,37,690,25530,EDU-002,正常
2026-07-03,SO000191,出貨,校 W,學校,螢幕 I,週邊配件,5,5990,29950,EDU-004,正常
2026-07-03,SO000200,出貨,校 P,學校,轉接器 J,週邊配件,15,890,13350,EDU-001,正常
2026-07-03,SO000233,出貨,校 P,學校,轉接器 J,週邊配件,3,890,2670,EDU-007,作廢
2026-07-03,TR000213,調撥,門市丙,門市,iPad 教育版 B,平板載具,9,—,—,—,調撥中
2026-07-03,TR000221,調撥,門市丙,門市,平板保護殼 D,週邊配件,17,—,—,—,調撥中
2026-07-03,TR000225,調撥,門市丙,門市,轉接器 J,週邊配件,14,—,—,—,調撥中
2026-07-04,PO000130,進貨,原廠 X,原廠,觸控筆 H,週邊配件,20,1730,34600,—,正常
2026-07-04,PO000162,進貨,原廠 X,原廠,AP 無線基地台 F,網路裝置,23,3442,79166,—,正常
2026-07-04,PO000163,進貨,原廠 X,原廠,AP 無線基地台 F,網路裝置,28,3442,96376,—,正常
2026-07-04,RMA000240,退貨,校 T,學校,平板保護殼 D,週邊配件,6,990,5940,EDU-002,退貨
2026-07-04,SO000003,出貨,校 A,學校,iPad 教育版 A,平板載具,3,11900,35700,EDU-011,正常
2026-07-04,SO000004,出貨,校 A,學校,iPad 教育版 A,平板載具,4,11900,47600,EDU-009,正常
2026-07-04,SO000016,出貨,校 E,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-002,正常
2026-07-04,SO000021,出貨,校 C,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-005,正常
2026-07-04,SO000022,出貨,校 C,學校,iPad 教育版 A,平板載具,6,11900,71400,EDU-011,正常
2026-07-04,SO000023,出貨,校 C,學校,iPad 教育版 A,平板載具,8,11900,95200,EDU-002,正常
2026-07-04,SO000026,出貨,校 C,學校,iPad 教育版 A,平板載具,5,11900,59500,EDU-004,正常
2026-07-04,SO000033,出貨,校 K,學校,iPad 教育版 A,平板載具,8,11900,95200,EDU-006,正常
2026-07-04,SO000041,出貨,校 W,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-002,正常
2026-07-04,SO000042,出貨,校 W,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-009,正常
2026-07-04,SO000062,出貨,校 E,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-004,正常
2026-07-04,SO000068,出貨,校 C,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-011,正常
2026-07-04,SO000077,出貨,校 A,學校,iPad 教育版 B,平板載具,3,15900,47700,EDU-007,正常
2026-07-04,SO000080,出貨,校 A,學校,iPad 教育版 B,平板載具,2,15900,31800,EDU-001,正常
2026-07-04,SO000081,出貨,校 A,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-011,正常
2026-07-04,SO000082,出貨,校 A,學校,iPad 教育版 B,平板載具,1,15900,15900,EDU-002,正常
2026-07-04,SO000091,出貨,校 C,學校,MacBook 教育版 C,筆電,2,36900,73800,EDU-012,正常
2026-07-04,SO000096,出貨,校 T,學校,MacBook 教育版 C,筆電,3,36900,110700,EDU-006,正常
2026-07-04,SO000114,出貨,校 P,學校,觸控筆 H,週邊配件,11,2790,30690,EDU-009,正常
2026-07-04,SO000121,出貨,校 T,學校,觸控筆 H,週邊配件,9,2790,25110,EDU-005,正常
2026-07-04,SO000127,出貨,校 E,學校,觸控筆 H,週邊配件,2,2790,5580,EDU-008,正常
2026-07-04,SO000131,出貨,校 P,學校,平板保護殼 D,週邊配件,26,990,25740,EDU-004,正常
2026-07-04,SO000132,出貨,校 P,學校,平板保護殼 D,週邊配件,2,990,1980,EDU-002,正常
2026-07-04,SO000137,出貨,校 W,學校,平板保護殼 D,週邊配件,20,990,19800,EDU-006,正常
2026-07-04,SO000150,出貨,校 E,學校,充電車 E,週邊配件,1,28900,28900,EDU-012,正常
2026-07-04,SO000151,出貨,校 C,學校,充電車 E,週邊配件,1,28900,28900,EDU-011,正常
2026-07-04,SO000153,出貨,校 H,學校,充電車 E,週邊配件,1,28900,28900,EDU-006,正常
2026-07-04,SO000155,出貨,校 K,學校,AP 無線基地台 F,網路裝置,11,4590,50490,EDU-003,正常
2026-07-04,SO000165,出貨,校 C,學校,MDM 授權 G,MDM 授權,21,690,14490,EDU-007,正常
2026-07-04,SO000167,出貨,校 W,學校,MDM 授權 G,MDM 授權,22,690,15180,EDU-001,正常
2026-07-04,SO000181,出貨,校 A,學校,MDM 授權 G,MDM 授權,23,690,15870,EDU-004,正常
2026-07-04,SO000187,出貨,校 K,學校,MDM 授權 G,MDM 授權,3,690,2070,EDU-003,正常
2026-07-04,SO000202,出貨,校 H,學校,轉接器 J,週邊配件,35,890,31150,EDU-001,正常
2026-07-04,SO000206,出貨,校 T,學校,轉接器 J,週邊配件,8,890,7120,EDU-002,正常
2026-07-04,SO000232,出貨,校 H,學校,平板保護殼 D,週邊配件,2,990,1980,EDU-005,作廢
2026-07-04,SO000234,出貨,校 T,學校,螢幕 I,週邊配件,3,5990,17970,EDU-005,作廢
2026-07-04,TR000214,調撥,門市乙,門市,iPad 教育版 B,平板載具,5,—,—,—,調撥中
2026-07-04,TR000216,調撥,門市乙,門市,AP 無線基地台 F,網路裝置,4,—,—,—,調撥中
2026-07-04,TR000217,調撥,門市乙,門市,螢幕 I,週邊配件,2,—,—,—,調撥中
2026-07-04,TR000219,調撥,門市乙,門市,充電車 E,週邊配件,6,—,—,—,調撥中
